KÛd;⁄zemn· jednotka;bez ukonËenÈho vzdelania ñ osoby vo veku 0-14 rokov (abs.);z·kladnÈ vzdelanie (abs.);strednÈ odbornÈ (uËÚovskÈ) vzdelanie (bez maturity) (abs.);˙plnÈ strednÈ vzdelanie (s maturitou) (abs.);vyööie odbornÈ vzdelanie (abs.);vysokoökolskÈ vzdelanie (abs.);bez ökolskÈho vzdelania ñ osoby vo veku 15 rokov a viac (abs.);nezistenÈ (abs.)
SK0412520624;PapÌn;63;175;283;288;28;63;2;6
SK0412520667;Por˙bka (Okres HumennÈ);18;49;59;74;14;38;0;5
SK0412520683;PtiËie;55;80;153;194;42;89;2;23
SK0412520721;RovnÈ (Okres HumennÈ);53;82;104;122;22;72;1;8
SK0412520772;Slovensk· Volov·;112;141;94;125;18;40;5;26
SK0412520781;SlovenskÈ KrivÈ;2;21;34;42;6;13;0;1
SK0412520896;Topoæovka;70;109;188;254;50;113;2;9
SK0412520900;Turcovce;33;45;91;80;17;31;0;4
SK0412520926;UdavskÈ;122;132;247;410;57;228;0;35
SK0412520977;Veæopolie;38;45;86;125;18;48;0;2
SK0412520985;VÌùazovce;30;58;75;85;18;30;0;4
SK0412521019;Vyön· Jablonka;1;9;6;13;4;13;0;5
SK0412521027;VyönÈ LadiËkovce;9;18;78;51;9;17;0;3
SK0412521035;Vyön˝ Hruöov;58;110;112;137;15;41;2;11
SK0412521043;Z·vadka (Okres HumennÈ);51;77;158;152;30;67;1;2
SK0412521086;ZbudskÈ DlhÈ;180;423;55;47;10;30;12;12
SK0412521116;ZubnÈ;36;45;100;111;21;38;1;2
SK0412528803;Koöarovce;71;80;155;198;34;78;1;3
SK0412528897;Niûn· Sitnica;20;56;90;82;8;37;0;6
SK0412528951;Pakostov;29;76;126;120;24;47;1;8
SK0412529010;Prituæany;5;5;15;5;2;7;1;1
SK0412529061;RohoûnÌk (Okres HumennÈ);2;15;11;7;3;5;0;1
SK0412529087;Rusk· KajÚa;13;32;32;17;4;6;0;4
SK0412529095;Rusk· Poruba;11;51;52;65;7;25;1;2
SK0412529249;Vyön· Sitnica;21;79;118;88;11;26;0;1
SK0412529273;Z·vada (Okres HumennÈ);3;14;22;19;2;4;0;1
SK0412559547;Jasenov (Okres HumennÈ);79;151;231;419;56;229;4;10
SK0412559598;HaûÌn nad Cirochou;48;89;138;216;42;135;0;9
SK0412559636;Sopkovce;4;16;32;34;6;7;0;1
SK0412559644;Gruzovce;20;13;35;41;7;12;0;4
SK0412559652;Maökovce;2;13;5;12;5;9;0;6
SK0412582140;Lackovce;104;107;81;264;40;228;0;10
SK0413523399;Abrah·movce (Okres Keûmarok);27;37;73;54;13;43;0;3
SK0413523411;Buöovce;36;45;112;59;16;27;0;9
SK0413523429;»erven˝ Kl·ötor;17;30;39;59;18;54;1;1
SK0413523461;Havka;5;9;13;8;2;7;0;1
SK0413523470;Holumnica;144;404;215;101;19;32;4;6
SK0413523500;Hradisko;11;18;27;20;5;14;1;0
SK0413523526;Huncovce;699;1070;485;423;81;256;8;33
SK0413523534;Ihæany;288;772;318;99;22;40;16;9
SK0413523569;Jezersko;11;15;17;19;1;13;0;0
SK0413523577;JurskÈ;404;768;157;20;3;5;10;5
SK0413523585;Keûmarok;1613;2120;2963;4216;986;2846;34;774
SK0413523607;KrÌûov· Ves;544;1119;339;138;46;55;32;8
SK0413523615;Lechnica;36;61;81;47;6;19;0;2
SK0413523623;Lendak;942;1375;1430;1008;224;366;18;46
SK0413523674;Majere;15;27;20;28;6;14;0;4
SK0413523682;ºubica;687;1072;909;958;221;555;9;65
SK0413523712;Matiaöovce;115;158;175;204;43;100;0;14
SK0413523739;MlynËeky;74;114;167;170;38;100;0;16
SK0413523771;OsturÚa;14;64;108;57;17;25;0;5
SK0413523780;Podhorany (Okres Keûmarok);991;1274;226;85;20;41;34;34
SK0413523798;Rak˙sy;929;1689;231;162;40;87;14;25
SK0413523801;Reæov;29;78;81;82;21;36;1;5
SK0413523810;Slovensk· Ves;238;437;460;423;89;191;3;38
SK0413523828;Spiösk· Bel·;889;1310;1372;1542;323;909;15;286
SK0413523836;Spiösk· Star· Ves;279;362;470;567;116;349;5;54
SK0413523861;SpiöskÈ Hanuöovce;122;123;161;192;38;140;0;5
SK0413523887;Star· Lesn·;144;270;171;177;35;111;3;60
SK0413523909;Str·ne pod Tatrami;754;1254;136;70;15;38;10;12
SK0413523976;Toporec;335;738;407;214;70;85;72;67
SK0413523984;Tvaroûn·;116;144;195;149;46;70;3;6
SK0413523992;Veæk· Frankov·;35;62;99;77;14;42;0;11
SK0413524000;Veæk· Lomnica;1274;1667;720;654;141;517;23;124
SK0413524042;Vlkov·;148;137;214;198;40;104;2;12
SK0413524051;Vlkovce;66;95;111;98;26;72;2;7
SK0413524069;VojÚany;49;46;71;88;7;45;0;1
SK0413524077;Vrbov;254;397;323;298;70;163;1;28
SK0413524085;V˝born·;368;811;86;26;8;12;4;1
SK0413524115;Z·lesie (Okres Keûmarok);4;19;28;15;6;12;0;0
SK0413524123;éakovce;85;172;241;179;42;120;0;34
SK0413559938;Mal· Frankov·;25;34;48;47;10;17;1;3
SK0413581241;Mal˝ Slavkov;194;365;211;182;46;106;4;18
SK0414526371;Baldovce;20;26;54;41;9;18;1;3
SK0414526380;Beharovce;20;24;28;52;18;24;1;2
SK0414526401;Bijacovce;181;210;176;220;41;105;15;19
SK0414526410;Brutovce;6;24;47;41;9;20;0;3
SK0414526428;Buglovce;27;40;58;92;18;42;1;2
SK0414526452;DlhÈ Str·ûe;109;175;119;86;17;80;3;8
SK0414526461;Doæany (Okres LevoËa);277;352;59;46;9;30;2;4
SK0414526479;DomaÚovce;106;142;236;243;46;112;2;20
SK0414526487;Dravce;127;170;203;140;51;84;2;32
SK0414526495;D˙brava (Okres LevoËa);18;60;92;81;15;52;2;9
SK0414526517;GranË-Petrovce;76;84;174;153;25;105;1;15
SK0414526525;Harakovce;7;9;20;12;6;4;0;0
SK0414526606;VyönÈ Repaöe;6;25;14;13;4;22;0;3
SK0414526614;Vyön˝ Slavkov;18;64;82;64;11;18;0;3
SK0414543179;Jablonov;167;230;176;187;30;108;11;78
SK0414543225;KlËov;92;92;111;171;42;114;0;8
SK0414543276;Kurimany;36;54;120;76;18;63;0;2
SK0414543292;LevoËa;1678;3780;2387;2948;641;2379;41;402
SK0414543314;L˙Ëka (Okres LevoËa);10;4;35;28;14;21;0;2
SK0414543381;Nemeöany;60;62;74;94;33;94;0;5
SK0414543390;NiûnÈ Repaöe;9;29;27;50;6;32;0;6
SK0414543420;Oæöavica;26;48;69;58;12;41;0;2
SK0414543446;Ordzovany;16;25;30;40;16;31;0;0
SK0414543454;Pavæany;1;17;16;3;1;2;0;2
SK0414543462;Poæanovce;16;35;53;34;4;18;0;0
SK0414543471;Pongr·covce;23;21;24;30;4;23;1;1
SK0414543578;SpiöskÈ Podhradie;407;804;774;881;156;593;36;140
SK0414543608;Spiösk˝ Hrhov;313;360;352;298;72;287;5;56
SK0414543624;Spiösk˝ ätvrtok;321;660;568;535;93;289;39;73
SK0414543641;Studenec;56;58;84;143;24;105;0;12
SK0414543675;Torysky;29;90;92;73;10;28;1;4
SK0414543691;Uloûa;22;35;35;68;8;48;1;3
SK0414581640;KorytnÈ;8;7;25;27;3;18;0;1
SK0415520071;Brestov nad Laborcom;18;54;13;9;1;1;4;6
SK0415520098;»abalovce;35;94;56;91;5;28;6;7
SK0415520101;»abiny;13;46;91;110;13;32;0;15
SK0415520128;»ertiûnÈ;14;53;82;101;20;43;1;9
SK0415520187;Habura;34;86;100;156;7;70;2;12
SK0415520314;Kalinov;14;31;65;69;9;23;46;4
SK0415520411;Kr·sny Brod;62;97;92;115;22;67;0;12
SK0415520471;Medzilaborce;625;1169;959;1683;264;929;18;318
SK0415520519;“agov;28;76;90;130;12;46;1;7
SK0415520578;Oæka;16;63;82;72;12;11;2;2
SK0415520586;Oæöinkov;0;4;5;8;0;3;0;0
SK0415520616;Palota;43;69;22;36;3;19;0;1
SK0415520691;RadvaÚ nad Laborcom;47;155;89;135;23;70;1;6
SK0415520705;Repejov;6;36;26;30;8;8;0;5
SK0415520713;Roökovce;6;26;32;47;6;21;0;3
SK0415520853;Sukov;29;47;23;28;8;11;1;6
SK0415520861;Svetlice;4;29;29;14;0;10;0;3
SK0415520951;Valentovce;4;3;14;17;1;2;0;1
SK0415520993;Volica;17;68;70;62;8;29;0;10
SK0415521001;V˝rava;20;64;45;38;8;13;0;1
SK0415521060;ZbojnÈ;8;40;38;52;8;13;0;3
SK0415521078;Zbudsk· Bel·;12;26;27;32;1;14;1;3
SK0415559610;Rokytovce;4;36;43;47;6;22;0;3
SK0416523381;Poprad;5124;6437;8253;14028;2806;10948;70;2189
SK0416523402;Batizovce;384;712;303;486;104;341;29;98
SK0416523437;G·novce;159;351;234;271;70;259;0;60
SK0416523445;Gerlachov (Okres Poprad);115;211;135;168;30;136;2;38
SK0416523488;HÙrka;278;353;459;563;95;320;2;38
SK0416523496;Hozelec;89;120;179;179;40;129;1;29
SK0416523518;Hranovnica;608;1277;436;478;90;208;8;62
SK0416523542;J·novce (Okres Poprad);410;631;215;228;39;103;0;21
SK0416523593;Kravany (Okres Poprad);101;248;226;197;42;62;4;17
SK0416523631;Liptovsk· TepliËka;386;858;428;423;75;170;15;50
SK0416523658;LuËivn·;114;279;180;170;32;93;7;66
SK0416523721;Mengusovce;108;218;85;118;28;92;4;32
SK0416523747;Mlynica;88;101;120;153;35;108;3;19
SK0416523763;Nov· Lesn·;189;390;284;335;73;314;5;67
SK0416523844;Spiösk· Teplica;235;479;431;574;103;372;9;50
SK0416523852;SpiöskÈ BystrÈ;319;493;518;632;106;358;9;44
SK0416523879;Spiösk˝ ätiavnik;580;985;330;351;73;241;9;129
SK0416523925;Svit;817;1125;1238;2271;488;1491;17;296
SK0416523933;ätrba;314;551;686;1007;188;559;6;104
SK0416523950;äv·bovce;276;502;267;255;71;197;8;13
SK0416524018;Veæk˝ Slavkov;232;356;230;249;43;214;2;151
SK0416524026;Vern·r;66;84;164;150;25;78;2;3
SK0416524034;Vikartovce;215;730;358;316;56;149;0;32
SK0416524093;VydrnÌk;296;601;137;135;25;65;12;17
SK0416524107;äuÚava;234;416;428;517;84;226;5;47
SK0416524131;édiar;146;223;332;389;64;190;6;24
SK0416559890;ätÙla;54;64;95;156;34;87;3;21
SK0416560103;VysokÈ Tatry;311;386;616;1065;278;1055;3;187
SK0416580368;Tatransk· Javorina;10;22;44;53;10;34;0;4
SK0417518522;Haniska (Okres Preöov);85;104;127;200;43;151;2;27
SK0417518590;ºubotice;447;494;446;895;183;1073;1;99
SK0417524140;Preöov;8731;9311;12093;22256;4275;22873;161;5124
SK0417524158;Abranovce;113;212;142;118;20;60;5;20
SK0417524174;Bajerov;35;72;117;111;25;57;0;3
SK0417524191;Bertotovce;61;66;159;114;28;70;2;10
SK0417524212;Brestov (Okres Preöov);52;68;88;114;28;91;1;6
SK0417524221;Bretejovce;58;51;92;112;17;95;0;9
SK0417524255;Breûany;23;27;67;43;8;29;1;1
SK0417524263;Bzenov;110;128;167;184;37;108;3;11
SK0417524271;»elovce (Okres Preöov);52;59;87;87;20;49;1;0
SK0417524301;»ervenica;276;431;231;52;6;15;4;18
SK0417524336;Demjata;111;164;264;315;49;155;20;23
SK0417524352;Drienov;274;461;504;509;98;255;11;126
SK0417524361;Drienovsk· Nov· Ves;108;185;147;211;34;92;4;24
SK0417524387;Dulova Ves;272;200;157;357;63;355;1;17
SK0417524395;Fintice;274;328;445;565;114;421;2;18
SK0417524409;FriËovce;177;288;291;186;35;124;3;32
SK0417524417;Fulianka;44;47;69;131;22;93;0;5
SK0417524425;Geraltov;15;14;30;33;11;13;2;4
SK0417524433;Gregorovce;95;145;182;271;50;138;3;14
SK0417524450;Hendrichovce;41;43;70;54;14;33;2;4
SK0417524468;Hermanovce;362;471;335;263;56;107;11;53
SK0417524476;Hrabkov;84;101;213;160;24;105;3;8
SK0417524506;Chmeæov;169;271;224;198;45;125;2;32
SK0417524514;Chmeæovec;48;78;120;107;23;68;1;4
SK0417524522;Chminianska Nov· Ves;146;199;306;315;78;171;3;41
SK0417524531;Chminianske Jakubovany;1050;1309;175;63;12;17;34;115
SK0417524549;ChmiÚany;232;472;96;105;19;53;4;22
SK0417524581;Janov;38;63;77;85;15;44;0;5
SK0417524590;JanovÌk;63;57;64;82;14;98;0;7
SK0417524620;Kapuöany;285;322;462;588;107;386;1;36
SK0417524638;Kendice;372;515;318;391;68;275;16;57
SK0417524646;Klenov;36;29;60;69;13;30;0;2
SK0417524654;Kojatice;195;235;245;242;50;154;12;21
SK0417524662;Kokoöovce;139;132;187;234;51;161;3;7
SK0417524697;KrÌûovany;36;53;140;71;18;27;0;6
SK0417524701;KvaËany (Okres Preöov);27;44;85;71;21;34;0;1
SK0417524727;Lada;84;105;211;257;43;121;1;10
SK0417524735;Laûany;21;29;33;51;18;20;0;4
SK0417524743;Lemeöany;346;455;381;447;79;218;7;62
SK0417524751;LesÌËek;122;169;53;25;8;21;1;19
SK0417524760;LiËartovce;115;130;232;236;52;129;17;37
SK0417524786;Lipovce;60;69;115;137;30;83;1;6
SK0417524794;ºubovec;62;69;138;130;23;69;1;6
SK0417524808;L˙Ëina;20;25;55;39;2;17;1;6
SK0417524832;Mal˝ SlivnÌk;290;498;101;55;9;31;7;41
SK0417524841;Mal˝ äariö;211;277;361;455;95;318;1;28
SK0417524867;Mikluöovce;30;47;106;66;16;37;0;3
SK0417524883;Mirkovce;343;576;141;107;28;49;25;87
SK0417524905;Moöurov;16;26;26;58;9;43;0;2
SK0417524913;Nemcovce (Okres Preöov);60;68;116;119;20;84;2;7
SK0417524930;Okruûn·;69;60;124;131;26;71;0;8
SK0417524964;Ondraöovce;9;9;11;13;4;13;1;0
SK0417524999;OvËie;83;88;191;176;22;81;0;20
SK0417525014;Petrovany;253;478;369;418;84;288;10;76
SK0417525022;Podhorany (Okres Preöov);114;138;219;209;37;124;3;13
SK0417525031;PodhradÌk;75;59;64;107;23;88;0;2
SK0417525057;ProË;38;73;148;79;24;31;2;7
SK0417525065;Puöovce;56;82;155;139;14;66;2;3
SK0417525073;Radatice;104;128;220;194;34;92;4;8
SK0417525111;Rokycany;246;447;176;90;28;40;6;31
SK0417525138;Rusk· Nov· Ves;193;297;240;315;50;165;7;38
SK0417525154;Sedlice;90;151;286;254;74;102;4;18
SK0417525162;Seniakovce;15;27;23;46;3;42;0;7
SK0417525171;Svinia;780;942;201;201;44;124;10;82
SK0417525189;äariösk· Poruba;154;240;72;91;15;52;2;15
SK0417525197;äariösk· Trsten·;70;117;66;60;12;28;0;3
SK0417525201;äariöskÈ Bohdanovce;184;128;145;209;47;229;1;6
SK0417525251;äindliar;71;167;145;83;20;59;4;8
SK0417525260;äirokÈ;318;385;623;561;149;354;4;42
SK0417525278;ätefanovce (Okres Preöov);18;38;70;53;8;12;0;0
SK0417525286;Teriakovce;126;128;119;202;40;222;1;12
SK0417525294;TerÚa;231;351;284;250;43;134;4;18
SK0417525324;Trnkov;35;29;48;70;10;53;0;6
SK0417525332;Tuhrina;130;220;62;49;4;26;4;14
SK0417525341;TulËÌk;165;183;275;379;59;254;1;15
SK0417525383;VarhaÚovce;322;741;198;123;25;37;19;39
SK0417525391;Veæk˝ SlivnÌk;32;58;92;82;18;35;1;4
SK0417525405;Veæk˝ äariö;912;1287;959;1524;318;1343;18;110
SK0417525413;VÌùaz;267;372;487;466;100;297;5;23
SK0417525430;Vyön· äebastov·;174;207;221;354;67;297;3;12
SK0417525448;Z·borskÈ;218;122;128;213;44;345;0;10
SK0417525456;Z·hradnÈ;144;147;287;289;42;179;2;11
SK0417525472;Zlat· BaÚa;48;75;120;107;29;62;1;14
SK0417525499;éehÚa;352;514;168;125;20;60;10;28
SK0417525502;éipov;35;46;85;92;14;18;2;2
SK0417525511;éupËany;274;256;414;409;119;291;1;29
SK0417556823;Medzany;160;170;180;252;48;157;2;9
SK0417559971;LipnÌky;58;62;115;166;39;90;1;1
SK0417559989;Such· Dolina;29;33;52;46;9;29;0;6
SK0418524182;Bajerovce;24;49;80;56;16;51;1;4
SK0418524204;Bodovce;41;55;97;96;18;44;0;1
SK0418524239;Brezovica (Okres Sabinov);204;292;441;455;81;189;3;25
SK0418524247;BrezoviËka;40;70;87;121;15;44;17;4
SK0418524280;»erven· Voda;66;90;145;119;22;60;1;2
SK0418524298;»ervenica pri Sabinove;121;156;207;233;59;139;0;17
SK0418524310;œaËov;83;126;176;195;32;111;2;2
SK0418524328;Daletice;12;12;23;26;7;15;0;1
SK0418524344;Drienica;76;91;144;214;47;172;1;14
SK0418524379;Dubovica;148;268;397;376;79;167;3;9
SK0418524441;Hanigovce;13;36;27;31;6;11;1;1
SK0418524492;Huboöovce;70;83;140;128;30;58;1;4
SK0418524557;Jakovany;51;54;106;92;15;24;0;8
SK0418524565;Jakubova Voæa;27;72;98;107;19;46;0;19
SK0418524573;Jakubovany (Okres Sabinov);112;149;230;271;48;133;1;3
SK0418524603;Jarovnice;2422;3729;422;244;55;91;36;242
SK0418524611;Kamenica;223;351;513;426;94;186;4;5
SK0418524671;Kr·sna L˙ka;54;147;152;145;31;118;1;7
SK0418524689;Krivany;222;285;244;261;56;109;6;22
SK0418524778;Lipany;1014;1239;1153;1580;307;1011;16;160
SK0418524816;L˙Ëka (Okres Sabinov);80;106;201;155;33;83;1;16
SK0418524824;ºutina;62;86;124;135;22;48;0;10
SK0418524875;Milpoö;86;160;174;136;20;69;2;6
SK0418524921;Niûn˝ Slavkov;147;276;171;155;25;70;2;22
SK0418524948;OlejnÌkov;179;210;79;57;9;28;1;6
SK0418524956;Oæöov;37;76;101;106;23;35;3;2
SK0418524981;Ostrovany;672;1070;223;169;31;79;16;60
SK0418525006;PeËovsk· Nov· Ves;540;766;465;550;101;320;4;42
SK0418525049;Poloma;109;199;202;244;42;117;5;15
SK0418525081;Ratvaj;14;31;40;42;4;15;0;1
SK0418525090;RaûÚany;242;356;298;331;81;242;6;69
SK0418525103;RenËiöov;18;41;54;39;8;15;1;3
SK0418525120;Roûkovany;196;248;291;314;77;133;5;42
SK0418525146;Sabinov;1644;2482;2081;2976;626;2010;92;438
SK0418525219;äariöskÈ Dravce;139;216;257;346;58;189;1;11
SK0418525235;äariöskÈ Michaæany;325;415;572;763;143;441;5;95
SK0418525243;äariöskÈ Sokolovce;92;96;140;135;39;67;0;18
SK0418525308;Tich˝ Potok;34;69;86;85;17;31;1;4
SK0418525316;Torysa;261;323;365;364;65;128;15;38
SK0418525359;Uzovce;63;83;147;124;35;68;1;11
SK0418525367;UzovskÈ Pekæany;119;156;67;65;17;34;4;10
SK0418525375;Uzovsk˝ äalgov;70;92;190;150;43;90;0;3
SK0418525421;Vysok· (Okres Sabinov);12;29;30;32;12;6;0;0
SK0419520039;Bel· nad Cirochou;330;531;862;968;149;470;8;51
SK0419520080;Brezovec;4;11;11;8;0;2;0;3
SK0419520136;»ukalovce;11;23;42;50;6;26;0;4
SK0419520161;DlhÈ nad Cirochou;153;264;425;659;86;279;2;25
SK0419520179;D˙brava (Okres Snina);12;48;62;45;9;14;20;2
SK0419520209;Hostovice;9;33;49;76;22;42;0;21
SK0419520217;Hrabov· Roztoka;8;18;19;9;2;1;0;0
SK0419520284;Jalov·;4;13;26;12;3;5;0;1
SK0419520322;Kaln· Roztoka;49;134;151;128;16;46;7;8
SK0419520365;Klenov·;75;146;107;100;14;58;2;6
SK0419520381;Kolbasov;1;18;26;16;1;4;1;1
SK0419520390;Kolonica;36;115;146;140;22;70;2;7
SK0419520438;Ladomirov;11;79;70;71;12;18;1;5
SK0419520489;Michajlov;5;13;23;30;2;6;1;2
SK0419520551;Nov· Sedlica;8;87;70;38;15;21;2;10
SK0419520594;OsadnÈ;8;22;31;27;6;14;41;1
SK0419520632;Parihuzovce;0;1;5;6;0;6;0;2
SK0419520641;PËolinÈ;45;87;114;168;26;93;0;18
SK0419520659;Pichne;62;68;132;171;27;79;2;18
SK0419520675;PrÌslop;0;15;13;7;2;4;2;4
SK0419520730;Runina;1;11;20;27;2;16;0;0
SK0419520748;Rusk· Volov·;0;21;34;24;2;4;0;0
SK0419520764;Rusk˝ Potok;8;32;39;28;13;5;2;2
SK0419520802;Snina;1762;2653;3480;5476;921;3324;43;1053
SK0419520811;StakËÌnska Roztoka;22;71;72;87;11;39;0;0
SK0419520829;StakËÌn;238;520;528;594;95;331;7;80
SK0419520845;Strihovce;12;40;43;23;5;19;0;0
SK0419520870;ämigovec;5;31;26;14;1;1;0;3
SK0419520888;Topoæa;11;36;41;43;7;20;0;1
SK0419520918;Ubæa;90;185;199;157;35;94;1;31
SK0419520934;UliË;70;187;218;201;36;84;7;22
SK0419520942;UliËskÈ KrivÈ;19;68;74;53;10;11;0;10
SK0419521051;Zboj;8;83;76;69;9;33;0;7
SK0419521108;ZemplÌnske H·mre;129;210;340;324;70;169;1;27
SK041A526665;Star· ºubovÚa;2171;2348;2715;3731;819;3111;59;984
SK041A526673;»irË;264;320;225;288;62;142;6;23
SK041A526681;œurkov·;23;60;63;48;11;16;0;3
SK041A526690;Forbasy;69;58;110;106;40;71;0;5
SK041A526703;Hajtovka;4;6;25;19;3;9;0;2
SK041A526711;Haligovce;72;151;182;144;29;55;4;13
SK041A526720;Hniezdne;185;286;364;338;64;161;7;23
SK041A526738;HraniËnÈ;16;42;64;46;9;12;3;1
SK041A526746;Hromoö;57;90;151;114;32;51;0;3
SK041A526754;Chmeænica;105;166;237;240;65;149;0;18
SK041A526762;Jakubany;504;964;579;370;85;220;45;74
SK041A526771;Jarabina;106;199;190;222;49;124;2;27
SK041A526789;Kamienka (Okres Star· ºubovÚa);154;206;320;312;78;240;1;25
SK041A526797;KolaËkov;279;379;242;189;36;115;24;2
SK041A526801;Kremn·;11;20;34;12;3;12;0;2
SK041A526819;Kyjov;143;261;132;109;19;67;2;4
SK041A526827;Lackov·;12;23;37;44;9;28;1;0
SK041A526835;Legnava;3;28;20;9;0;8;22;4
SK041A526843;Lesnica;49;121;168;86;17;42;1;4
SK041A526851;Litmanov·;63;89;151;161;36;107;2;24
SK041A526860;LomniËka;1191;1587;388;10;3;3;7;50
SK041A526878;ºubotÌn;179;296;303;291;59;143;5;43
SK041A526886;Mal˝ LipnÌk;50;65;114;101;27;91;2;5
SK041A526894;Matysov·;4;13;15;13;1;8;1;1
SK041A526908;MnÌöek nad Popradom;82;121;150;158;19;65;1;15
SK041A526916;NiûnÈ Ruûbachy;88;90;180;140;36;84;3;5
SK041A526924;Nov· ºubovÚa;367;474;675;780;189;488;8;28
SK041A526932;ObruËnÈ;0;7;9;5;0;4;1;0
SK041A526941;Orlov;41;135;175;147;17;66;2;18
SK041A526959;PlaveË;200;325;505;471;75;166;4;40
SK041A526967;Plavnica;191;292;353;435;87;258;0;21
SK041A526975;PodolÌnec;397;596;643;727;160;414;6;165
SK041A526983;PustÈ Pole;18;40;59;52;10;36;0;2
SK041A526991;Rusk· Voæa nad Popradom;4;13;24;21;5;12;0;1
SK041A527009;Starina;4;7;13;11;3;13;0;1
SK041A527017;Str·Úany;13;29;43;68;8;22;2;2
SK041A527025;SulÌn;19;57;114;77;12;21;0;5
SK041A527033;äambron;35;56;80;100;23;76;1;5
SK041A527041;äariöskÈ Jastrabie;379;526;192;202;33;110;5;45
SK041A527050;⁄dol;40;75;85;95;14;59;2;1
SK041A527068;Veæk· Lesn·;77;109;137;106;18;45;1;9
SK041A527076;Veæk˝ LipnÌk;89;177;228;235;53;117;4;11
SK041A527084;Vislanka;28;53;73;66;14;22;0;9
SK041A527092;VyönÈ Ruûbachy;158;246;335;319;82;225;3;36
SK041B527114;BaÚa;20;39;44;52;8;14;2;8
SK041B527157;Breznica;94;155;184;230;35;106;1;9
SK041B527165;BrezniËka (Okres Stropkov);9;34;33;34;3;10;1;3
SK041B527173;Brusnica;34;85;67;73;7;32;1;9
SK041B527181;Bukovce;70;123;111;133;22;59;0;4
SK041B527190;Bystr· (Okres Stropkov);1;8;4;2;2;4;0;0
SK041B527203;Bûany;20;43;41;57;10;43;0;1
SK041B527262;DuplÌn;62;74;130;149;21;71;0;2
SK041B527289;Gribov;23;56;38;41;9;17;1;4
SK041B527297;Havaj;41;64;105;147;5;53;5;5
SK041B527335;ChotËa;78;89;120;206;25;93;0;18
SK041B527343;Jakuöovce;1;7;15;13;1;3;0;0
SK041B527386;Kolbovce;20;69;34;36;5;9;0;4
SK041B527408;Korunkov·;8;18;19;17;2;10;0;2
SK041B527416;Koûuchovce;0;24;12;6;1;5;0;0
SK041B527467;Kriöæovce;0;8;12;9;1;2;0;0
SK041B527475;Kruöinec;23;41;47;64;12;41;0;10
SK041B527513;LomnÈ;21;41;36;82;11;36;2;7
SK041B527521;Makovce;11;36;31;44;2;17;1;2
SK041B527530;Mal· Poæana;10;32;24;32;2;13;2;0
SK041B527572;Mikov·;18;47;28;27;4;8;0;14
SK041B527581;MiÚovce;23;60;89;103;11;49;0;4
SK041B527611;Mr·zovce;11;9;18;31;3;7;0;2
SK041B527637;Niûn· Olöava;68;93;85;105;23;40;1;8
SK041B527700;Oæöavka (Okres Stropkov);5;31;58;55;9;28;0;5
SK041B527718;PotÙËky;9;11;13;26;3;8;0;0
SK041B527726;Potoky;8;14;18;31;4;9;0;4
SK041B527793;KruËov;18;46;55;48;9;29;1;0
SK041B527815;SoænÌk;5;14;4;7;0;5;0;0
SK041B527823;Staökovce;24;45;55;70;12;35;1;9
SK041B527840;Stropkov;1126;1723;1568;2845;458;1866;31;450
SK041B527866;äandal;35;48;74;77;31;37;0;8
SK041B527912;Tisinec;56;58;93;162;27;76;1;5
SK041B527921;TokajÌk;8;17;25;22;10;6;2;0
SK041B527939;Turany nad Ondavou;25;52;76;117;17;49;1;11
SK041B527971;Varechovce;8;34;37;29;4;23;1;2
SK041B527980;Veækrop;33;98;46;30;3;11;0;10
SK041B527998;Vislava;15;40;58;71;5;8;0;4
SK041B528005;VladiËa;6;7;15;21;7;9;0;0
SK041B528013;Vojtovce;7;17;28;21;1;20;0;4
SK041B528021;Vyökovce;9;31;41;28;6;13;1;3
SK041B528048;Vyön· Olöava;103;164;151;119;21;56;3;24
SK041B560073;Vyön˝ Hrabovec;25;42;53;46;5;23;1;2
SK041C519197;Giraltovce;460;799;852;888;186;503;110;203
SK041C519316;Kalniöte;47;123;165;107;19;44;4;4
SK041C519332;Kobylnice;7;16;23;22;7;11;0;4
SK041C519391;KraË˙novce;133;191;270;349;79;208;2;7
SK041C519448;Kukov·;88;105;182;146;51;131;2;15
SK041C519537;L˙Ëka (Okres SvidnÌk);54;100;124;152;27;60;1;2
SK041C519561;Luûany pri Topli;23;46;58;65;15;39;0;2
SK041C519596;MiËakovce;11;14;30;44;4;21;0;1
SK041C519987;éeleznÌk;39;79;130;128;19;65;0;2
SK041C519995;éelmanovce;33;59;88;89;15;38;0;5
SK041C527106;SvidnÌk;844;1244;1760;3034;586;2240;19;441
SK041C527122;Belejovce;2;4;5;2;2;9;0;0
SK041C527131;BeÚadikovce;18;34;53;57;7;33;0;2
SK041C527149;Bodruûal;5;23;14;10;2;6;0;0
SK041C527211;Cernina;71;135;103;159;20;85;4;4
SK041C527220;Cigla;7;20;26;15;2;3;1;0
SK041C527238;DlhoÚa;24;36;21;6;1;3;0;0
SK041C527246;Dobroslava;7;8;7;12;2;10;0;0
SK041C527254;Dubov· (Okres SvidnÌk);14;32;67;47;13;21;1;5
SK041C527271;Fijaö;25;23;46;28;4;19;0;1
SK041C527301;Havranec;2;2;4;0;1;6;0;0
SK041C527319;HrabovËÌk;39;47;62;111;20;45;0;5
SK041C527327;Hunkovce;37;88;83;55;12;41;3;9
